,Unnamed: 0,Unnamed: 0.1,latitude,longitude,address
114,114,114,52.6003,39.5814,"улица Неделина, Октябрьский округ, Липецк, городской округ Липецк, Липецкая область, ЦФО, 398000, РФ"
115,115,115,55.767,38.2172,"Автозапчасти, Центральная улица, Кудиново, Богородский городской округ, Московская область, ЦФО, 142435, РФ"
116,116,116,55.6895,37.2,"3, Солнечная улица, Власиха, городской округ Власиха, Московская область, ЦФО, 143010, РФ"
117,117,117,55.64629720000001,38.00620885,"Торговый центр  Малаховский, 1, Южная улица, МЭЗ-1, Малаховка, городской округ Люберцы, Московская область, ЦФО, 140032, РФ"
118,118,118,55.8427,37.1455,"2, Новая улица, Новый Городок, Нахабино, городской округ Красногорск, Московская область, ЦФО, 143433, РФ"
119,119,119,53.2242,50.1517,"8, улица Карла Либкнехта, Октябрьский район, Самара, городской округ Самара, Самарская область, Приволжский федеральный округ, 443068, РФ"
120,120,120,55.6254,49.1398,"Пятерочка, «Казань — Боровое Матюшино» — Песчаные Ковали — «Столбище — Атабаево», Петровский, Приволжский район, Габишевское сельское поселение, городской округ Казань, Татарстан, Приволжский федеральный округ, 422625, РФ"
121,121,121,54.8871,38.0628,"69, улица Андропова, Микрорайон А, Ступино, городской округ Ступино, Московская область, ЦФО, 142802, РФ"
122,122,122,55.7475,37.9859,"16А, Граничная улица, 2 квартал, Ольгино, Балашиха, городской округ Балашиха, Московская область, ЦФО, 142832, РФ"
123,123,123,56.0808,63.6201,"3, улица Гагарина, Шадринск, городской округ Шадринск, Курганская область, Уральский федеральный округ, 641876, РФ"
124,124,124,55.90908689,37.9368037,"101 с1, улица Сергея Лазо, Валентиновка, городское поселение Загорянский, Щёлковский район, Московская область, ЦФО, 141122, РФ"
125,125,125,55.5502,36.6903,"22, улица Генерала Вотинцева, Кубинка-2, Кубинка, Одинцовский район, Московская область, ЦФО, 143070, РФ"
126,126,126,55.8387,49.1565,"26-й квартал, улица Маршала Чуйкова, МЖК, Савиново, Ново-Савиновский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420137, РФ"
127,127,127,54.864,53.0217,"16К-0077, Агерзинское сельское поселение, Азнакаевский район, Татарстан, Приволжский федеральный округ, 423330, РФ"
128,128,128,53.7585,87.1154,"18, проспект Энтузиастов, Центральный район, Новокузнецк, Новокузнецкий городской округ, Кемеровская область, СФО, 654005, РФ"
129,129,129,59.9477,30.5643,"13А, Новая улица, Янино-1, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188689, РФ"
130,130,130,51.9876,42.25,"Почтовая улица, Уварово, городской округ Уварово, Тамбовская область, ЦФО, 393460, РФ"
131,131,131,54.9634,35.8465,"Торговый комплекс  Бородино, 15А, Варшавское шоссе, Новые Лужки, городское поселение Медынь, Медынский район, Калужская область, ЦФО, РФ"
132,132,132,60.02,30.6699,"Октябрьский проспект, Отрада, Всеволожск, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 187100, РФ"
133,133,133,59.6855,30.423,"29, Гуммолосаровская улица, Пязелево, Павловск, Пушкинский район, Санкт-Петербург, Северо-Западный федеральный округ, 191186, РФ"
134,134,134,55.779,37.8949,"16, микрорайон Дзержинского, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143915, РФ"
135,135,135,55.9586,37.2924,"25 к1, улица Микояна, Манометр, Сходня, Химки, городской округ Химки, Московская область, ЦФО, 141400, РФ"
136,136,136,56.0979,49.8887,"70, Большая улица, Арск, Арский район, Татарстан, Приволжский федеральный округ, 422000, РФ"
137,137,137,55.8378,37.4151,"7, Походный проезд, Братцево, район Южное Тушино, Северо-Западный административный округ, Москва, ЦФО, 125371, РФ"
138,138,138,53.4373,55.2574,"2А, улица Галеева, Стерлибашевский сельсовет, Стерлибашевский район, Башкортостан, Приволжский федеральный округ, 453180, РФ"
139,139,139,47.7022,40.2056,"15, Садовая улица, Соцгородок, Шахты, городской округ Шахты, РОС, ЮФО, 546504, РФ"
140,140,140,56.841,53.3254,"Октябрьская средняя школа, Ижевск - Аэропорт, Октябрьский, Завьяловский район, Удмуртия, Приволжский федеральный округ, 427006, РФ"
141,141,141,54.7327,55.9962,"34, бульвар Хадии Давлетшиной, Советский район, Уфа, городской округ Уфа, Башкортостан, Приволжский федеральный округ, 450000, РФ"
142,142,142,56.9345,53.2896,"улица Холмогорова, Ягул, Завьяловский район, Удмуртия, Приволжский федеральный округ, 426018, РФ"
143,143,143,57.7818,38.4512,"городское поселение Мышкин, Мышкинский район, Ярославская область, ЦФО, 152830, РФ"
144,144,144,55.8202,37.95,"23, улица Орджоникидзе, микрорайон Авиаторов, Балашиха, городской округ Балашиха, Московская область, ЦФО, 143902, РФ"
145,145,145,55.7326,38.9517,"Евросеть, улица Калинина, Ликино-Дулёво, городской округ Ликино-Дулёво, Московская область, ЦФО, 142671, РФ"
146,146,146,55.6747,37.7587,"19, Новороссийская улица, Люблино, район Люблино, Юго-Восточный административный округ, Москва, ЦФО, 109559, РФ"
147,147,147,65.1328,57.1559,"82А, Социалистическая улица, городское поселение Печора, район Печора, Республика Коми, Северо-Западный федеральный округ, 169600, РФ"
148,148,148,51.7148,39.179,"15 квартал, улица Владимира Невского, Северный, Коминтерновский район, Воронеж, ГО Воронеж, Воронежская область, ЦФО, 3456, РФ"
149,149,149,58.7474,27.8106,"8, Пограничная улица, Гдов, Гдовский район, Псковская область, Северо-Западный федеральный округ, РФ"
150,150,150,59.5465,30.8596,"Пятерочка, улица Шолохова, Тосно, Тосненский район, Ленинградская область, Северо-Западный федеральный округ, 187000, РФ"
151,151,151,53.8932,56.4743,"Пятерочка, Коммунистическая улица, Красноусольский, Гафурийский район, Башкортостан, Приволжский федеральный округ, 453050, РФ"
152,152,152,51.8787,39.5882,"Пятерочка, улица Генерала Лохматикова, Краснолесный, Железнодорожный район, Воронеж, ГО Воронеж, Воронежская область, ЦФО, 394080, РФ"
153,153,153,55.3119,82.74799999999998,"улица Чехова, Колывань, Колыванский район, Новосибирская область, СФО, РФ"
154,154,154,51.8843,37.2544,"Вокзальная улица, городское поселение Черемисиново, Черемисиновский район, Курская область, ЦФО, 306454, РФ"
155,155,155,55.1935,80.2755,"Советская улица, Каргат, Каргатский район, Новосибирская область, СФО, РФ"
156,156,156,55.7163,38.9486,"3, улица Степана Морозкина, Ликино-Дулёво, городской округ Ликино-Дулёво, Московская область, ЦФО, 142672, РФ"
157,157,157,46.2026,47.8619,"городское поселение Красные Баррикады, Икрянинский район, Астраханская область, ЮФО, 416356, РФ"
158,158,158,56.0,37.8083,"Пятёрочка, Рабочая улица, микрорайон Мамонтовка, городское поселение Пушкино, Пушкинский район, Московская область, ЦФО, 141202, РФ"
159,159,159,51.4075,46.0397,"ТК  Дружба, 78, проспект Гагарина, Приволжский, Энгельсский район, Саратовская область, Приволжский федеральный округ, 413119, РФ"
160,160,160,60.7316,77.6097,"улица Строителей, Стрежевой, городской округ Стрежевой, Томская область, СФО, 636785, РФ"
161,161,161,52.69,35.7721,"Росинка, Пушкарский переулок, городское поселение Кромы, Кромской район, Орловская область, ЦФО, 303210, РФ"
162,162,162,59.6167,30.3743,"Пятёрочка, 4, улица Строителей, Коммунарское городское поселение, Гатчинский район, Ленинградская область, Северо-Западный федеральный округ, 188320, РФ"
163,163,163,54.7183,55.9978,"20, Обская улица, Советский район, Уфа, городской округ Уфа, Башкортостан, Приволжский федеральный округ, 450000, РФ"
164,164,164,56.2645,54.9303,"ТЦ Юбилейный, 27, улица Азина, городское поселение Янаул, Янаульский район, Башкортостан, Приволжский федеральный округ, 452800, РФ"
165,165,165,55.7645,49.2291,"123, улица Юлиуса Фучика, Азино-2, Советский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, РФ"
166,166,166,56.2963,39.3653,"Хлебозавод, улица Дружбы, Кольчугино, Кольчугинский район, Владимирская область, ЦФО, 601780, РФ"
167,167,167,55.6983,37.4571,"6 к2, Очаковское шоссе, Очаково-Матвеевское, район Очаково-Матвеевское, Западный административный округ, Москва, ЦФО, 119530, РФ"
168,168,168,59.4174,56.8331,"Березники, улица Ломоносова, Березники, Березниковский городской округ, Пермский край, Приволжский федеральный округ, 618400, РФ"
169,169,169,55.7818,49.2348,"Августина, улица Академика Глушко, Азино-1, Советский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420100, РФ"
170,170,170,53.2085,44.9774,"50, улица Карпинского, Глобус, Ленинский район, Пенза, городской округ Пенза, Пензенская область, Приволжский федеральный округ, 440018, РФ"
171,171,171,50.5682,36.5852,"Пятёрочка, проспект Ватутина, Харьковская гора, Белгород, городской округ Белгород, Белгородская область, ЦФО, 308033, РФ"
172,172,172,55.036,73.2559,"50, улица 22 Апреля, Энергетиков, Городок Нефтяников, Советский административный округ, Омск, городской округ Омск, Омская область, СФО, 644000, РФ"
173,173,173,46.3684,48.0494,"25А, улица Савушкина, Астрахань, городской округ Астрахань, Астраханская область, ЮФО, 414000, РФ"
174,174,174,55.7427,49.2858,"Центральная улица, Салмачи, Приволжский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420129, РФ"
175,175,175,54.8538,38.2498,"6, Советский проспект, Кашира-2, Кашира, городской округ Кашира, Московская область, ЦФО, 142902, РФ"
176,176,176,55.9012,37.4516,"11, улица Победы, Лобаново, Химки, городской округ Химки, Московская область, ЦФО, 141402, РФ"
177,177,177,54.6945,35.9696,"Почта России, Центральная улица, городское поселение Товарково, Дзержинский район, Калужская область, ЦФО, 249855, РФ"
178,178,178,55.5496,37.5443,"57, улица Поляны, Гавриково, район Южное Бутово, Юго-Западный административный округ, Москва, ЦФО, 117041, РФ"
179,179,179,55.6821,37.6773,"Магнит, 23, Судостроительная улица, Нагатино, район Нагатинский Затон, Южный административный округ, Москва, ЦФО, 115487, РФ"
180,180,180,52.7238,41.4713,"Пост ГАИ, Рассказовское шоссе, Набережная, Ленинский район, Тамбов, городской округ Тамбов, Тамбовская область, ЦФО, 392017, РФ"
181,181,181,55.9178,38.1142,"7, Щёлковское шоссе, городской округ Лосино-Петровский, Московская область, ЦФО, 141142, РФ"
182,182,182,56.8608,53.2275,"6А, Авангардная улица, Культбаза, Индустриальный район, Ижевск, городской округ Ижевск, Удмуртия, Приволжский федеральный округ, 426035, РФ"
183,183,183,56.3346,36.7147,"Фамилия, Новоямская улица, Клин, городской округ Клин, Московская область, ЦФО, 141606, РФ"
184,184,184,54.9841,33.3411,"10А, Молодёжная улица, Верхнеднепровское городское поселение, Дорогобужский район, Смоленская область, ЦФО, 215750, РФ"
